"filename", "language", "YAML", "Markdown", "Python", "Batch", "Properties", "PowerShell", "Shell Script", "PostCSS", "JSON", "pip requirements", "comment", "blank", "total"
"c:\HomeDashboard\src\ui\card_nameday.py", "Python", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 18, 16, 143
"c:\HomeDashboard\src\ui\card_prices.py", "Python", 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 10, 32, 200
"c:\HomeDashboard\src\ui\card_system.py", "Python", 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 10, 17, 127
"c:\HomeDashboard\src\ui\card_weather.py", "Python", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 16, 11, 101
"c:\HomeDashboard\src\ui\card_zen.py", "Python", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 11, 8, 55
"c:\HomeDashboard\src\ui\common.py", "Python", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 19, 8, 45
"c:\HomeDashboard\src\utils.py", "Python", 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 48, 27, 185
"c:\HomeDashboard\src\weather_icons.py", "Python", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 27, 15, 105
"c:\HomeDashboard\tests\cid_retrieval.py", "Python", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\HomeDashboard\tests\list_heos_playlists.py", "Python", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 2, 12, 45
"c:\HomeDashboard\tests\list_tidal_containers.py", "Python", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 2, 12, 54
"c:\HomeDashboard\tests\print_heos_players.py", "Python", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 3, 8, 42
"c:\HomeDashboard\tests\test_smoke.py", "Python", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4
"Total", "-", 64, 542, 2412, 29, 8, 141, 58, 109, 432, 26, 466, 795, 5082
